Rowid,Country,State lgd code,State,District lgd code,District,Year,District and taluk court case type,Pending cases for a period of 0 to 1 years,Pending cases for a period of 1 to 3 years,Pending cases for a period of 3 to 5 years,Pending cases for a period of 5 to 10 years,Pending cases for a period of 10 to 20 years,Pending cases for a period of 20 to 30 years,Pending cases over 30 years,Pending cases,Original pending cases,Pending appeal cases,Pending application cases,Pending execution cases,Cases pending at appearance or service-related stage,Cases pending at compliance or steps or stay stage,Cases pending at evidence or argument or judgement stage,Cases pending at pleadings or issues or charge stage,Cases instituted in last month,Cases disposed in last month,Cases filed by senior citizens,Cases filed by women,Cases delayed in disposal
1867,India,33,Tamil Nadu,582,Pudukkottai,2021,Civil,5026,3543,1575,1585,315,24,2,12070,9388,294,81,2307,722,2603,5481,2352,852,1719,2184,2246,4121
1868,India,33,Tamil Nadu,582,Pudukkottai,2021,Criminal,2640,2128,1284,1004,324,7,0,7387,7261,114,12,0,3037,173,3005,1139,1511,1520,119,188,3669
1869,India,33,Tamil Nadu,582,Pudukkottai,2021,Total,7666,5671,2859,2589,639,31,2,19457,16649,408,93,2307,3759,2776,8486,3491,2363,3239,2303,2434,7790
1870,India,33,Tamil Nadu,583,Ramanathapuram,2021,Civil,2882,1801,732,488,87,12,3,6005,5087,301,27,571,538,1229,2912,1268,315,313,1632,1285,2394
1871,India,33,Tamil Nadu,583,Ramanathapuram,2021,Criminal,3487,3764,1345,881,429,37,0,9943,9460,33,450,0,3761,354,3321,2455,1706,1869,93,345,2674
1872,India,33,Tamil Nadu,583,Ramanathapuram,2021,Total,6369,5565,2077,1369,516,49,3,15948,14547,334,477,571,4299,1583,6233,3723,2021,2182,1725,1630,5068
1873,India,33,Tamil Nadu,584,Salem,2021,Civil,10564,13442,5166,5899,2094,128,10,37303,31066,1099,238,4900,1930,9741,17232,6133,0,0,6742,7610,17391
1874,India,33,Tamil Nadu,584,Salem,2021,Criminal,6477,7685,4034,2381,761,85,1,21424,20530,544,350,0,9391,856,7408,3636,0,0,754,911,10427
1875,India,33,Tamil Nadu,584,Salem,2021,Total,17041,21127,9200,8280,2855,213,11,58727,51596,1643,588,4900,11321,10597,24640,9769,0,0,7496,8521,27818
1876,India,33,Tamil Nadu,585,Sivaganga,2021,Civil,4152,3040,1091,1072,154,6,0,9515,7772,375,44,1292,382,2218,4658,2148,243,471,2009,1899,2654
1877,India,33,Tamil Nadu,585,Sivaganga,2021,Criminal,4068,3972,2490,1799,563,13,0,12905,12040,197,668,0,5101,637,4641,2466,3629,3548,309,473,5611
1878,India,33,Tamil Nadu,585,Sivaganga,2021,Total,8220,7012,3581,2871,717,19,0,22420,19812,572,712,1292,5483,2855,9299,4614,3872,4019,2318,2372,8265
1879,India,33,Tamil Nadu,586,Thanjavur,2021,Civil,5924,8070,2265,2422,474,25,11,19191,15479,724,109,2873,848,4267,9570,3991,0,0,3555,3817,5058
1880,India,33,Tamil Nadu,586,Thanjavur,2021,Criminal,3657,6091,2536,3150,425,38,5,15902,15059,311,532,0,5561,556,5560,4115,0,0,434,572,2473
1881,India,33,Tamil Nadu,586,Thanjavur,2021,Total,9581,14161,4801,5572,899,63,16,35093,30538,1035,641,2873,6409,4823,15130,8106,0,0,3989,4389,7531
1882,India,33,Tamil Nadu,587,The Nilgiris,2021,Civil,1560,1000,550,487,172,18,2,3789,2790,177,161,653,287,565,2178,553,181,254,938,691,1800
1883,India,33,Tamil Nadu,587,The Nilgiris,2021,Criminal,1948,1708,769,601,116,7,0,5149,4904,213,32,0,964,570,2492,1110,397,929,205,186,2706
1884,India,33,Tamil Nadu,587,The Nilgiris,2021,Total,3508,2708,1319,1088,288,25,2,8938,7694,390,193,653,1251,1135,4670,1663,578,1183,1143,877,4506
1885,India,33,Tamil Nadu,588,Theni,2021,Civil,5208,3042,1262,820,145,6,0,10483,7877,512,66,2026,966,2139,5211,1864,412,671,1949,2267,4597
1886,India,33,Tamil Nadu,588,Theni,2021,Criminal,4137,3714,1549,1330,148,1,0,10879,9956,143,759,0,3015,392,5222,2218,5764,5865,260,423,5263
1887,India,33,Tamil Nadu,588,Theni,2021,Total,9345,6756,2811,2150,293,7,0,21362,17833,655,825,2026,3981,2531,10433,4082,6176,6536,2209,2690,9860
1888,India,33,Tamil Nadu,589,Thiruvallur,2021,Civil,12719,10771,4535,5984,1692,77,28,35806,27798,1282,286,6218,3678,6413,13224,11081,1135,1091,4589,6721,16387
1889,India,33,Tamil Nadu,589,Thiruvallur,2021,Criminal,8899,6304,3041,2827,1602,117,22,22812,20915,264,1633,0,9097,810,5729,6770,6212,6627,384,505,12027
1890,India,33,Tamil Nadu,589,Thiruvallur,2021,Total,21618,17075,7576,8811,3294,194,50,58618,48713,1546,1919,6218,12775,7223,18953,17851,7347,7718,4973,7226,28414
1891,India,33,Tamil Nadu,590,Thiruvarur,2021,Civil,3170,2742,984,558,53,1,0,7508,5768,315,57,1342,533,1880,3395,1354,309,324,1492,1590,3951
1892,India,33,Tamil Nadu,590,Thiruvarur,2021,Criminal,3084,2133,964,833,197,9,0,7220,7173,44,3,0,1674,342,2450,2675,1122,1571,161,98,3719
1893,India,33,Tamil Nadu,590,Thiruvarur,2021,Total,6254,4875,1948,1391,250,10,0,14728,12941,359,60,1342,2207,2222,5845,4029,1431,1895,1653,1688,7670
1894,India,33,Tamil Nadu,591,Tiruchirappalli,2021,Civil,13436,9585,4261,5306,1647,130,16,34381,28637,1547,199,3987,2625,7605,17275,6253,1218,1384,6780,8431,17822
1895,India,33,Tamil Nadu,591,Tiruchirappalli,2021,Criminal,9955,7851,2528,1869,738,41,4,22986,21664,402,920,0,7699,826,7312,7036,6108,6321,639,1050,10018
1897,India,33,Tamil Nadu,592,Tirunelveli,2021,Civil,7474.691552,5473.057974,2228.496086,1665.620244,257.8955854,9.630955472,0.535053082,17109.92745,14078.31669,956.6749102,100.0549263,1934.216891,1262.725273,3405.612866,9321.159738,2853.973138,651.6946536,785.4579241,3730.390086,3322.679638,4874.868628
1898,India,33,Tamil Nadu,592,Tirunelveli,2021,Criminal,8715.479649,5753.425788,3094.747025,2498.697892,288.9286642,11.23611472,1.070106164,20363.58524,19233.01808,144.9993852,958.2800695,0,7840.66786,875.8818949,7271.371381,4002.732105,5559.736573,5683.333835,321.0318491,370.2567326,2978.640506
1899,India,33,Tamil Nadu,592,Tirunelveli,2021,Total,16190.1712,11226.48376,5323.243111,4164.318135,546.8242496,20.86707019,1.605159245,37473.51269,33311.33477,1101.674295,1058.334996,1934.216891,9103.393133,4281.49476,16592.53112,6856.705243,6211.431226,6468.791759,4051.421935,3692.93637,7853.509134
1900,India,33,Tamil Nadu,593,Tiruvannamalai,2021,Civil,7879,7636,4186,3442,888,99,6,24136,19132,806,118,4024,952,5578,10229,5978,576,690,4233,5245,3190
1901,India,33,Tamil Nadu,593,Tiruvannamalai,2021,Criminal,3074,3944,2555,1812,348,8,1,11742,11308,116,267,0,4362,396,4302,2666,1148,1212,202,412,1060
1902,India,33,Tamil Nadu,593,Tiruvannamalai,2021,Total,10953,11580,6741,5254,1236,107,7,35878,30440,922,385,4024,5314,5974,14531,8644,1724,1902,4435,5657,4250
1903,India,33,Tamil Nadu,594,Tuticorin,2021,Civil,5300.995694,3954.021378,2136.988577,1131.695429,183.6783158,7.900142614,0,12715.27954,9671.749595,1069.481806,132.3273888,1804.19507,689.2874431,2841.088788,6618.344475,2352.267463,464.1333786,627.07382,2918.115178,2194.264611,6429.72857
1904,India,33,Tamil Nadu,594,Tuticorin,2021,Criminal,5656.502112,6656.85767,4862.537779,4139.67473,339.7061324,13.82524957,2.96255348,21672.06623,19267.46032,140.2275314,2259.440788,0,4952.401901,1074.419396,11337.69217,4250.276726,7937.668292,8651.64368,455.2457181,470.0584855,14835.48031
1905,India,33,Tamil Nadu,594,Tuticorin,2021,Total,10957.49781,10610.87905,6999.526356,5271.370159,523.3844482,21.72539219,2.96255348,34387.34576,28939.20991,1209.709338,2391.768176,1804.19507,5641.689344,3915.508183,17956.03664,6602.54419,8401.80167,9278.7175,3373.360896,2664.323097,21265.20888
1906,India,33,Tamil Nadu,595,Vellore,2021,Civil,4926.609799,4011.616719,1687.255213,1596.35394,389.1212401,20.73186935,3.986897951,12635.67568,9793.416128,283.4684443,36.28077136,2517.327367,615.5770437,2746.175309,6520.5716,2174.454143,380.3500646,487.1989297,2289.276804,2675.607215,5961.209817
1907,India,33,Tamil Nadu,595,Vellore,2021,Criminal,3663.161838,2066.409208,830.4708433,1091.213969,184.5933752,10.36593467,0.398689795,7846.613858,6753.80513,96.08424063,996.7244879,0,2952.696623,334.8994279,2038.102233,2388.151873,3513.254475,3492.921295,182.998616,339.6837055,2897.677431
1908,India,33,Tamil Nadu,595,Vellore,2021,Total,8589.771636,6078.025927,2517.726056,2687.567909,573.7146152,31.09780402,4.385587747,20482.28954,16547.22126,379.552685,1033.005259,2517.327367,3568.273667,3081.074737,8558.673832,4562.606016,3893.604539,3980.120225,2472.27542,3015.290921,8858.887248
1909,India,33,Tamil Nadu,596,Villupuram,2021,Civil,8324.905915,8090.45181,3053.258917,2357.037336,592.0858746,30.94318138,3.570367083,22452.2534,18417.14354,658.7327268,60.69624041,3312.110531,1939.899448,6542.102618,10512.35081,2932.461497,624.2191783,810.4733278,3950.611177,4474.265016,9226.423603
1910,India,33,Tamil Nadu,596,Villupuram,2021,Criminal,4183.87516,3145.4934,1967.867324,1370.425899,465.9329043,27.96787548,1.190122361,11162.75268,10977.68866,64.86166867,77.95301464,0,4524.845216,714.6684777,3842.905104,1914.906879,881.8806695,837.8461421,129.7233373,267.18247,5816.127978
1911,India,33,Tamil Nadu,596,Villupuram,2021,Total,12508.78107,11235.94521,5021.126241,3727.463234,1058.018779,58.91105687,4.760489444,33615.00608,29394.83219,723.5943955,138.6492551,3312.110531,6464.744665,7256.771096,14355.25592,4847.368376,1506.099848,1648.31947,4080.334515,4741.447486,15042.55158
1912,India,33,Tamil Nadu,597,Virudhunagar,2021,Civil,4568,5498,2195,1900,608,47,1,14817,11891,946,155,1821,1175,3493,7164,2518,0,0,3050,3328,6762
1914,India,33,Tamil Nadu,597,Virudhunagar,2021,Total,7829,9946,5546,4150,951,53,1,28476,24639,1692,280,1821,3874,4018,15245,4839,0,0,3357,3596,12323
1915,India,33,Tamil Nadu,610,Ariyalur,2021,Civil,2803,2443,1078,974,263,12,0,7573,5762,263,345,1202,164,1282,4373,1281,225,319,1714,1574,3500
1916,India,33,Tamil Nadu,610,Ariyalur,2021,Criminal,3117,1897,695,220,131,1,0,6061,5773,43,245,0,2486,342,2366,838,1402,1658,87,229,1687
1917,India,33,Tamil Nadu,610,Ariyalur,2021,Total,5920,4340,1773,1194,394,13,0,13634,11535,306,590,1202,2650,1624,6739,2119,1627,1977,1801,1803,5187
1918,India,33,Tamil Nadu,634,Tiruppur,2021,Civil,11703,10447,4845,3283,651,30,3,30962,27058,657,221,3025,1155,6711,13766,8081,1033,1520,5545,7208,4456
1919,India,33,Tamil Nadu,634,Tiruppur,2021,Criminal,6997,6395,4332,4370,812,16,0,22922,22379,337,206,0,2684,476,7060,12680,1135,1442,637,729,6720
1920,India,33,Tamil Nadu,634,Tiruppur,2021,Total,18700,16842,9177,7653,1463,46,3,53884,49437,994,427,3025,3839,7187,20826,20761,2168,2962,6182,7937,11176
1921,India,33,Tamil Nadu,729,Kallakurichi,2021,Civil,5665.094085,5505.54819,2077.741083,1603.962664,402.9141254,21.05681862,2.429632917,15278.7466,12532.85646,448.2672732,41.30375959,2253.889469,1320.100552,4451.897382,7153.649186,1995.538503,424.7808217,551.5266722,2688.388823,3044.734984,6278.576397
1922,India,33,Tamil Nadu,729,Kallakurichi,2021,Criminal,2847.12484,2140.5066,1339.132676,932.5741014,317.0670957,19.03212452,0.809877639,7596.247315,7470.311343,44.13833133,53.04698536,0,3079.154784,486.3315223,2615.094896,1303.093121,600.1193305,570.1538579,88.27666266,181.81753,3957.872022
1923,India,33,Tamil Nadu,729,Kallakurichi,2021,Total,8512.218925,7646.05479,3416.873759,2536.536766,719.9812211,40.08894313,3.239510556,22874.99392,20003.16781,492.4056045,94.35074495,2253.889469,4399.255335,4938.228904,9768.744082,3298.631624,1024.900152,1121.68053,2776.665485,3226.552514,10236.44842
1924,India,33,Tamil Nadu,730,Chengalpattu,2021,Civil,4276.767624,7104.24782,3552.776155,3916.728623,2096.314037,79.57383714,10.43591307,21036.84401,16100.65713,671.8119037,258.2888484,3910.858422,1157.734106,3696.922204,8699.63803,6717.466792,0,0,2944.231974,4251.98233,6758.5582
1925,India,33,Tamil Nadu,730,Chengalpattu,2021,Criminal,3192.084909,4186.105629,3502.553323,3687.138535,798.9995942,35.87345117,5.217956533,15407.9734,14693.11335,275.8994517,439.6128379,0,4733.991065,707.0331103,4651.156005,5261.656919,0,0,219.1541744,488.5311804,5912.596997
1926,India,33,Tamil Nadu,730,Chengalpattu,2021,Total,7468.852533,11290.35345,7055.329478,7603.867158,2895.313632,115.4472883,15.6538696,36444.81741,30793.77048,947.7113554,697.9016864,3910.858422,5891.725171,4403.955314,13350.79404,11979.12371,0,0,3163.386148,4740.513511,12671.1552
1927,India,33,Tamil Nadu,731,Ranipet,2021,Civil,3767.011028,3067.384071,1290.118206,1220.612783,297.531987,15.85211406,3.048483474,9661.558673,7488.294804,216.747175,27.74119961,1924.812465,470.6858483,2099.795417,4985.794721,1662.642886,290.8253234,372.5246805,1750.439211,2045.837259,4558.09249
1928,India,33,Tamil Nadu,731,Ranipet,2021,Criminal,2800.946616,1580.028984,634.9991075,834.3699267,141.1447848,7.926057031,0.304848347,5999.720324,5164.131004,73.46845171,762.1208684,0,2257.706861,256.0726118,1558.384752,1826.041601,2686.323637,2670.776371,139.9253914,259.7307919,2215.637789
1929,India,33,Tamil Nadu,731,Ranipet,2021,Total,6567.957644,4647.413055,1925.117314,2054.98271,438.6767718,23.77817109,3.353331821,15661.279,12652.42581,290.2156267,789.862068,1924.812465,2728.392709,2355.868028,6544.179473,3488.684487,2977.14896,3043.301052,1890.364602,2305.568051,6773.730278
1930,India,33,Tamil Nadu,732,Tirupathur,2021,Civil,3663.379173,2982.99921,1254.626581,1187.033277,289.3467729,15.41601659,2.964618575,9395.76565,7282.289068,210.7843807,26.97802903,1871.860168,457.737108,2042.029274,4848.633679,1616.902971,282.8246121,362.2763899,1702.283986,1989.555526,4432.697693
1931,India,33,Tamil Nadu,732,Tirupathur,2021,Criminal,2723.891547,1536.561807,617.5300492,811.416104,137.26184,7.708008295,0.296461858,5834.665817,5022.063866,71.44730766,741.1546438,0,2195.596517,249.0279603,1515.513016,1775.806526,2612.421888,2597.302334,136.0759926,252.5855026,2154.68478
1932,India,33,Tamil Nadu,732,Tirupathur,2021,Total,6387.27072,4519.561018,1872.15663,1998.449381,426.6086129,23.12402489,3.261080433,15230.43147,12304.35293,282.2316883,768.1326728,1871.860168,2653.333625,2291.057235,6364.146695,3392.709497,2895.2465,2959.578723,1838.359978,2242.141028,6587.382474
1933,India,33,Tamil Nadu,733,Tenkasi,2021,Civil,6562.312753,4805.920648,1963.515337,1461.684327,226.4260988,8.468901914,0.464946918,15028.79301,12355.93372,844.8432834,88.61768492,1703.58804,1105.987284,2995.298347,8183.495787,2509.759398,572.1719678,690.4682559,3278.494736,2915.055751,4317.402802
1934,India,33,Tamil Nadu,733,Tenkasi,2021,Criminal,7645.018239,5083.716541,2750.715196,2223.627378,255.3652034,9.938635708,0.967340356,17969.34853,16956.5216,127.7730834,861.2791429,0,6875.930238,774.6987096,6461.936449,3531.991169,4931.595136,5048.022485,284.7224328,327.6847819,2775.879182
1935,India,33,Tamil Nadu,733,Tenkasi,2021,Total,14207.33099,9889.637189,4714.230533,3685.311705,481.7913022,18.40753762,1.432287274,32998.14155,29312.45532,972.6163668,949.8968278,1703.58804,7981.917522,3769.997056,14645.43224,6041.750567,5503.767103,5738.490741,3563.217168,3242.740533,7093.281984
1936,India,33,Tamil Nadu,735,Mayiladuthurai,2021,Civil,2692.942832,2238.437712,882.3080627,450.5281994,59.0856655,2.272525596,0.568131399,6326.143128,4928.539887,260.2041808,45.45051192,1081.154052,323.2667661,1237.390187,3191.7622,1399.307636,238.6151876,339.1744452,1277.727516,1272.614334,2232.188267
1937,India,33,Tamil Nadu,735,Mayiladuthurai,2021,Criminal,2066.86203,1889.605033,590.2885236,463.5952216,67.60763649,3.976919793,0,5081.935365,4524.598462,132.374616,424.9622865,0,2231.620135,347.1282848,1890.741296,573.812713,4278.597566,7001.651362,159.0767917,332.3568684,2198.668514
1938,India,33,Tamil Nadu,735,Mayiladuthurai,2021,Total,4759.804861,4128.042746,1472.596586,914.1234211,126.693302,6.24944539,0.568131399,11408.07849,9453.138349,392.5787967,470.4127984,1081.154052,2554.886902,1584.518472,5082.503496,1973.120349,4517.212754,7340.825807,1436.804308,1604.971202,4430.856781
1939,India,34,Puducherry,598,Karaikal,2021,Civil,1195,904,336,379,111,1,0,2926,2556,5,8,357,270,592,1226,795,179,232,551,661,205
1940,India,34,Puducherry,598,Karaikal,2021,Criminal,1034,1021,676,869,198,3,0,3801,3667,4,130,0,1970,57,881,892,276,452,70,123,6
1941,India,34,Puducherry,598,Karaikal,2021,Total,2229,1925,1012,1248,309,4,0,6727,6223,9,138,357,2240,649,2107,1687,455,684,621,784,211
1942,India,34,Puducherry,599,Mahe,2021,Civil,143,76,32,27,0,0,0,278,231,1,0,46,4,55,177,35,17,32,105,118,1
1943,India,34,Puducherry,599,Mahe,2021,Criminal,158,134,82,42,1,0,0,417,417,0,0,0,168,11,186,52,78,96,36,21,0
1944,India,34,Puducherry,599,Mahe,2021,Total,301,210,114,69,1,0,0,695,648,1,0,46,172,66,363,87,95,128,141,139,1
1945,India,34,Puducherry,600,Pondicherry,2021,Civil,5566,3433,1304,1092,353,40,0,11788,9487,166,22,2109,1100,1688,4566,3847,744,1352,2203,3343,736
1946,India,34,Puducherry,600,Pondicherry,2021,Criminal,4311,4271,2793,2538,690,6,0,14609,13849,121,622,0,6864,565,3357,3797,1736,1659,342,802,753
1947,India,34,Puducherry,600,Pondicherry,2021,Total,9877,7704,4097,3630,1043,46,0,26397,23336,287,644,2109,7964,2253,7923,7644,2480,3011,2545,4145,1489
1948,India,34,Puducherry,601,Yanam,2021,Civil,97,52,9,7,3,0,0,168,124,0,0,44,45,26,71,25,19,9,35,54,0
1949,India,34,Puducherry,601,Yanam,2021,Criminal,94,85,18,18,1,0,0,216,211,0,5,0,64,10,94,18,14,12,6,13,0
1950,India,34,Puducherry,601,Yanam,2021,Total,191,137,27,25,4,0,0,384,335,0,5,44,109,36,165,43,33,21,41,67,0
1951,India,35,Andaman And Nicobar Islands,602,South Andamans,2021,Civil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,India,35,Andaman And Nicobar Islands,602,South Andamans,2021,Criminal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,India,35,Andaman And Nicobar Islands,602,South Andamans,2021,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,India,36,Telangana,501,Adilabad,2021,Civil,1145.99819,859.4339844,398.8104737,194.2325977,10.08664622,0.258631954,0,2608.820524,2057.158565,131.1264009,0,420.5355578,592.5258075,479.2450115,891.5043468,617.0958432,79.65864195,63.10619687,362.0847361,520.3674922,526.3160272
1955,India,36,Telangana,501,Adilabad,2021,Criminal,2917.627077,1947.239985,967.5421413,307.2547618,21.46645221,8.017590586,0.258631954,6169.40664,5843.013113,42.93290443,283.460622,0,3491.01412,243.889933,2194.233501,228.1133838,1573.51681,1758.438658,58.70945364,241.5622454,645.0280942
1956,India,36,Telangana,501,Adilabad,2021,Total,4063.625267,2806.673969,1366.352615,501.4873595,31.55309843,8.27622254,0.258631954,8778.227164,7900.171679,174.0593053,283.460622,420.5355578,4083.539928,723.1349445,3085.737848,845.2092269,1653.175452,1821.544855,420.7941898,761.9297376,1171.344121
1957,India,36,Telangana,507,Hyderabad,2021,Civil,21133,22131,9094,5496,883,31,14,58782,45093,2007,2,11680,21146,15711,14945,6189,1458,1253,6649,11526,1294
1958,India,36,Telangana,507,Hyderabad,2021,Criminal,31288,34712,14994,5062,536,50,45,86687,78579,2329,5697,0,59592,10805,14330,1574,4471,3835,1767,6330,36
1959,India,36,Telangana,507,Hyderabad,2021,Total,52421,56843,24088,10558,1419,81,59,145469,123672,4336,5699,11680,80738,26516,29275,7763,5929,5088,8416,17856,1330
1960,India,36,Telangana,508,Karimnagar,2021,Civil,2797.999763,2357.499895,1220.030165,924.6768681,58.32495222,1.065295931,0,7359.596939,6041.559549,308.669496,0.532647966,1008.835247,1860.006695,1543.613804,2158.822204,1736.698691,241.0232044,130.7650755,1203.251754,1531.362901,136.6242031
1961,India,36,Telangana,508,Karimnagar,2021,Criminal,5660.183605,4369.843909,2446.984753,1340.408605,69.5105595,8.788691431,1.065295931,13896.78542,13302.61661,126.5038918,467.6649137,0,8657.926355,735.3205164,4338.684003,144.3475986,1070.356087,1147.323718,570.465971,1801.415419,405.6114257
1962,India,36,Telangana,508,Karimnagar,2021,Total,8458.183368,6727.343804,3667.014918,2265.085473,127.8355117,9.853987362,1.065295931,21256.38236,19344.17616,435.1733878,468.1975617,1008.835247,10517.93305,2278.93432,6497.506207,1881.04629,1311.379291,1278.088793,1773.717725,3332.77832,542.2356289
1963,India,36,Telangana,509,Khammam,2021,Civil,3616.104814,3274.709251,1548.914358,1148.917037,43.01046464,0,0,9631.655925,7721.991295,189.2460444,0,1720.418585,2602.133111,1836.009209,2701.59481,2249.447301,297.8474676,320.9655924,1149.992298,1777.945082,5166.632065
1964,India,36,Telangana,509,Khammam,2021,Criminal,7425.75672,6006.949017,3165.032566,1341.388866,10.75261616,0,0,17949.87979,17346.12039,133.3324404,470.9645878,0,10375.19933,1425.259272,5661.252408,441.3948933,5727.918628,6074.690499,434.4056928,899.9939725,8634.350776
1965,India,36,Telangana,509,Khammam,2021,Total,11041.86153,9281.658269,4713.946924,2490.305902,53.7630808,0,0,27581.53571,25068.11168,322.5784848,470.9645878,1720.418585,12977.33244,3261.268481,8362.847218,2690.842194,6025.766096,6395.656092,1584.397991,2677.939054,13800.98284
1966,India,36,Telangana,512,Mahabubnagar,2021,Civil,2752.978887,2144.638063,1082.906454,655.1745971,116.0879704,2.989389797,0.996463266,6755.771825,5263.318969,172.8863766,0,1319.56648,1928.156419,1743.312483,1597.579731,1233.372407,204.0258536,121.3194026,1060.48603,1289.921697,4.484084695
1967,India,36,Telangana,512,Mahabubnagar,2021,Criminal,3909.872738,3064.871889,1367.396716,511.4347711,22.91865511,1.494694898,0.249115816,8878.238581,8682.682665,58.29310104,137.2628148,0,5481.046193,493.9966639,2728.067305,105.1268745,437.4473736,481.2917573,276.5185562,804.1458554,4.733200512
1968,India,36,Telangana,512,Mahabubnagar,2021,Total,6662.851626,5209.509953,2450.30317,1166.609368,139.0066256,4.484084695,1.245579082,15634.01041,13946.00163,231.1794776,137.2628148,1319.56648,7409.202612,2237.309147,4325.647036,1338.499282,641.4732272,602.6111599,1337.004587,2094.067553,9.217285207
1969,India,36,Telangana,513,Medak,2021,Civil,2269.428145,1851.974808,676.2744072,417.2003357,24.54119622,0,0,5239.418892,4227.916804,194.3055536,0,817.1965339,1605.297835,1551.408404,1028.959227,999.8639945,187.980503,109.2968739,904.2292298,1247.552975,109.0438719
1970,India,36,Telangana,513,Medak,2021,Criminal,3661.698277,2263.103095,657.5522575,287.157296,4.554036412,0,0,6874.064962,6743.262916,39.72131759,91.08072824,0,4102.174799,655.2752393,1954.946631,21.25216992,1157.990259,1223.517783,157.6202603,477.4148172,50.09440053
1971,India,36,Telangana,513,Medak,2021,Total,5931.126423,4115.077902,1333.826665,704.3576317,29.09523263,0,0,12113.48385,10971.17972,234.0268712,91.08072824,817.1965339,5707.472634,2206.683644,2983.905858,1021.116164,1345.970762,1332.814657,1061.84949,1724.967792,159.1382724
1972,India,36,Telangana,514,Nalgonda,2021,Civil,5514.698399,4839.741622,2525.869178,1773.907022,256.0660764,0.46388782,0,14910.74619,11918.20586,349.3075282,1.391663459,2641.841133,3862.793874,3719.916425,3908.25488,3266.234138,408.2212812,386.8824415,2746.215892,3047.279087,97.41644212
1973,India,36,Telangana,514,Nalgonda,2021,Criminal,9977.299224,8521.155358,4180.55703,1900.084509,99.27199339,0,0,24678.36811,24066.03619,187.4106791,424.9212428,0,15217.83992,2885.382238,6203.571811,289.9298872,996.4310365,1241.827693,704.645598,2481.799835,15.77218587
1974,India,36,Telangana,514,Nalgonda,2021,Total,15491.99762,13360.89698,6706.426208,3673.991531,355.3380698,0.46388782,0,39589.1143,35984.24205,536.7182073,426.3129062,2641.841133,19080.6338,6605.298663,10111.82669,3556.164025,1404.652318,1628.710135,3450.86149,5529.078922,113.188628
1975,India,36,Telangana,516,Nizamabad,2021,Civil,3168.109319,2599.758512,1268.475257,488.3013975,29.55670502,5.541882191,0,7559.743073,6181.045937,294.3355208,0,1084.361615,1951.358296,1119.460203,2584.98016,1774.633831,255.5423455,205.6654058,1097.908439,1783.254536,181.6505829
1976,India,36,Telangana,516,Nizamabad,2021,Criminal,5029.565971,3892.864357,1325.741373,378.6952831,9.236470318,0,0,10636.10345,10123.78723,108.3745851,403.9416353,0,6216.144524,594.2129238,3643.479658,175.4929361,868.2282099,947.6618547,209.9757586,1072.662086,44.33505753
1977,India,36,Telangana,516,Nizamabad,2021,Total,8197.67529,6492.622869,2594.21663,866.9966806,38.79317534,5.541882191,0,18195.84653,16304.83317,402.7101059,403.9416353,1084.361615,8167.50282,1713.673126,6228.459818,1950.126767,1123.770555,1153.32726,1307.884197,2855.916622,225.9856405
1978,India,36,Telangana,518,Ranga Reddy,2021,Civil,12773.8075,11880.85176,4995.363042,3581.336281,1315.43407,231.7793101,7.351209463,34785.92318,23134.25618,1304.623468,0.432424086,9028.582493,12812.29325,9229.659693,6003.776011,4363.159028,1213.381985,1001.494183,4325.970557,3962.734325,145.2944929
1979,India,36,Telangana,518,Ranga Reddy,2021,Criminal,19252.81758,12859.8599,5730.916413,2500.276066,451.8831699,24.64817291,1.729696344,40822.131,37875.59327,1581.807307,1020.088419,0,26270.19565,6573.278532,6531.333396,631.7715897,2468.276683,1974.015953,806.9033446,2593.679668,182.0505402
1980,India,36,Telangana,518,Ranga Reddy,2021,Total,32026.62509,24740.71166,10726.27945,6081.612346,1767.31724,256.427483,9.080905807,75608.05418,61009.84945,2886.430774,1020.520843,9028.582493,39082.4889,15802.93823,12535.10941,4994.930618,3681.658669,2975.510136,5132.873902,6556.413993,327.3450332
1981,India,36,Telangana,522,Warangal,2021,Civil,2805.083795,3039.435058,1605.785674,1569.145235,276.6476085,7.131360574,0,9303.228732,7114.146945,352.387576,0,1836.694211,2389.005792,2256.21494,2446.548495,2035.63458,216.1539981,114.5935872,1283.153085,1664.557922,317.4685
1982,India,36,Telangana,522,Warangal,2021,Criminal,3701.422047,3011.155525,1679.312461,1034.047283,70.3299698,3.442725794,0,9499.710012,9145.601073,113.8558602,240.2530787,0,6175.266439,567.5579381,2593.847977,91.23223355,308.3698676,506.3266008,183.448103,686.577887,632.7238192
1983,India,36,Telangana,522,Warangal,2021,Total,6506.505842,6050.590584,3285.098135,2603.192519,346.9775783,10.57408637,0,18802.93874,16259.74802,466.2434362,240.2530787,1836.694211,8564.272232,2823.772878,5040.396472,2126.866814,524.5238657,620.9201879,1466.601188,2351.135809,950.1923193
1984,India,36,Telangana,680,Nirmal,2021,Civil,1146.719114,859.974637,399.0613573,194.3547856,10.09299153,0.258794655,0,2610.46168,2058.452682,131.2088898,0,420.8001083,592.8985535,479.5464949,892.0651742,617.4840457,79.7087536,63.14589571,362.3125163,520.6948449,526.647122
